county,waterbody.type,wbic,name,name.local,named,hydro.unit,basin.maj,basin.min,seg.no,landlock,lake.type,access,area,impound,size.code,dep.max,dep.avg,len.shore,len.shore.m,dist.ash,muskie,nor.pike,wae,lmb,smb,pan,trout,cat,sturg,merc.warn
Ashland,LP,2285200,PARKER LAKE,NA,TRUE,7050002,2,261,1,FALSE,DG,NA,13,13,VS,6,NA,0.54,870,40,NA,NA,NA,NA,NA,P,NA,NA,NA,NA
Ashland,LP,2404800,PELICAN LAKE,NA,TRUE,7050001,2,261,1,FALSE,DG,NW,40,46,S,13,3,5.42,8728,36,C,C,C,NA,P,P,NA,NA,NA,NA
Ashland,LP,2905000,PICTURED ROCK LAKE,NA,TRUE,4010302,3,280,1,FALSE,SE,NA,5,5,VS,9,NA,NA,NA,6,NA,NA,NA,NA,NA,P,NA,NA,NA,NA
Ashland,LP,1875200,POLE LAKE,NA,TRUE,7050001,2,261,1,TRUE,SE,T,13,13,VS,21,NA,0.6,966,30,NA,NA,NA,NA,NA,P,C,NA,NA,NA
Ashland,LP,2917200,POTTER LAKE,NA,TRUE,4010302,3,280,1,FALSE,SE,BR,29,29,S,11,8,1.1,1771,18,P,NA,NA,P,NA,C,NA,NA,NA,NA
Ashland,LP,2891800,SAND CUT SLOUGH,NA,TRUE,4010301,3,280,1,FALSE,NA,NA,NA,0,VS,NA,NA,NA,NA,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ashland,LP,1880400,SEAGELS LAKE,NA,TRUE,7050001,2,261,1,TRUE,SE,NA,7,7,VS,9,NA,0.4,644,32,NA,NA,NA,NA,NA,P,NA,NA,NA,NA
Ashland,LP,2915900,SEITZ LAKE,SITZ,SIETZ,TRUE,4010302,3,280,1,FALSE,DG,NA,19,19,VS,6,2,0.78,1256,18,P,NA,NA,NA,NA,P,P,NA,NA,NA
Ashland,LP,2409700,SELLS LAKE,NA,TRUE,7050001,2,261,1,FALSE,DG,NA,16,16,VS,5,NA,2,3221,35,P,P,NA,P,P,NA,P,NA,NA,NA
Ashland,LP,1881300,SLIM LAKE,NA,TRUE,7050002,2,261,1,TRUE,SE,NA,15,15,VS,33,NA,0.76,1224,38,NA,NA,NA,NA,NA,C,NA,NA,NA,NA
Ashland,RF,2402100,SNOOSE LAKE,SNOOZE,TRUE,7050001,2,261,1,NA,SE,NA,24,24,S,13,NA,0.93,1498,36,NA,NA,NA,C,NA,C,NA,NA,NA,NA
Ashland,LP,2935100,SNOWSHOE LAKE,BILLARD,TRUE,4010302,3,280,1,FALSE,DG,NA,24,26,S,11,8,0.89,1433,22,NA,NA,NA,P,NA,P,NA,NA,NA,NA
Ashland,LP,2918600,SPIDER LAKE,NA,TRUE,4010302,3,280,1,FALSE,DG,BR,103,103,M,25,12,2.52,4058,24,C,NA,NA,C,NA,C,NA,NA,NA,NA
Ashland,LP,2936200,SPILLERBERG LAKE,NA,TRUE,4010302,3,280,1,FALSE,DG,BR,75,70,M,24,9,1.28,2061,27,C,NA,P,P,NA,P,NA,NA,NA,Y
Ashland,LP,2905400,SUGARBUSH LAKE,NA,TRUE,4010302,3,280,1,FALSE,SE,NA,4,4,VS,9,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ashland,RF,2936600,SUMMIT LAKE,NA,TRUE,4010302,3,280,1,NA,SE,NA,91,91,M,6,NA,1.5,2415,27,NA,NA,NA,P,NA,P,NA,NA,NA,NA
Ashland,LP,2922700,TEA LAKE,NA,TRUE,4010302,3,280,1,FALSE,DG,W,50,50,M,48,22,1.3,2093,18,NA,P,C,P,NA,P,NA,NA,NA,NA
Ashland,LP,2406700,TORREY LAKE,NA,TRUE,7050001,2,261,1,FALSE,SE,NA,30,29,S,31,15,0.86,1385,27,P,P,NA,P,NA,P,NA,NA,NA,NA
