race sex age
white male 2
white male 2
white male 2
white male 2
white male 2
white male 2
white male 2
white male 2
white male 2
white male 2
white male 2
white male 2
white male 2
white male 2
white male 2
white male 2
white male 2
white male 2
white male 2
white male 2
white male 2
white male 2
white male 2
white male 2
white male 2
white male 2
white male 2
white male 2
white male 2
white male 2
white male 2
white male 2
white male 2
white male 2
white male 2
white male 2
white male 2
white male 2
white male 2
white male 2
white male 2
white male 2
white male 2
white male 2
white male 2
white male 2
white male 2
white male 2
white male 2
white male 2
white male 2
white male 2
white male 2
white male 2
white male 2
white male 2
white male 2
white male 2
white male 2
white male 2
white male 2
white male 2
white male 2
white male 2
white male 2
white male 2
white male 2
white male 2
white male 2
white male 2
white male 2
white male 2
white male 2
white male 2
white male 2
white male 2
white male 2
white male 2
white male 2
white male 2
white male 2
white male 2
white male 2
white male 2
white male 2
white male 2
white male 2
white male 2
white male 2
white male 2
white male 2
white male 2
white male 2
white male 2
white male 2
white male 2
white male 2
white male 2
white male 2
white male 2
white male 2
white male 2
white male 2
white male 2
white male 2
white male 2
white male 2
white male 2
white male 2
white male 2
white male 2
white male 2
white male 2
white male 2
white male 2
white male 2
white male 2
white male 2
white male 2
white male 2
white male 2
white male 2
white male 2
white male 2
white male 2
white male 2
white male 2
white male 2
white male 2
white male 2
white male 2
white male 2
white male 2
white male 2
white male 2
white male 2
white male 2
white male 2
white male 2
white male 2
white male 2
white male 2
white male 2
white male 2
white male 2
white male 2
white male 2
white male 2
white male 2
white male 2
white male 2
white male 2
white male 2
white male 2
white male 2
white male 2
white male 2
white male 2
white male 2
white male 2
white male 2
white male 2
white male 2
white male 2
white male 2
white male 2
white male 2
white male 2
white male 2
white male 2
white male 2
white male 2
white male 2
white male 2
white male 2
white male 2
white male 2
white male 2
white male 2
white male 2
white male 2
white male 2
white male 2
white male 2
white male 3
white male 3
white male 3
white male 3
white male 3
white male 3
white male 3
white male 3
white male 3
white male 3
white male 3
white male 3
white male 3
white male 3
white male 3
white male 3
white male 3
white male 3
white male 3
white male 3
white male 3
white male 3
white male 3
white male 3
white male 3
white male 3
white male 3
white male 3
white male 3
white male 3
white male 3
white male 3
white male 3
white male 3
white male 3
white male 3
white male 3
white male 3
white male 3
white male 3
white male 3
white male 3
white male 3
white male 3
white male 3
white male 3
white male 3
white male 3
white male 3
white male 3
white male 3
white male 3
white male 3
white male 3
white male 3
white male 3
white male 3
white male 3
white male 3
white male 3
white male 3
white male 3
white male 3
white male 3
white male 3
white male 3
white male 3
white male 3
white male 3
white male 3
white male 3
white male 3
white male 3
white male 3
white male 3
white male 3
white male 3
white male 3
white male 3
white male 3
white male 3
white male 3
white male 3
white male 3
white male 3
white male 3
white male 3
white male 3
white male 3
white male 3
white male 3
white male 3
white male 3
white male 3
white male 3
white male 3
white male 3
white male 3
white male 3
white male 3
white male 3
white male 3
white male 3
white male 3
white male 3
white male 3
white male 3
white male 3
white male 3
white male 3
white male 3
white male 3
white male 3
white male 3
white male 3
white male 3
white male 3
white male 3
white male 3
white male 3
white male 3
white male 3
white male 3
white male 3
white male 3
white male 3
white male 3
white male 3
white male 3
white male 3
white male 3
white male 3
white male 3
white male 3
white male 3
white male 3
white male 3
white male 3
white male 3
white male 3
white male 3
white male 3
white male 3
white male 3
white male 3
white male 3
white male 3
white male 3
white male 3
white male 3
white male 3
white male 3
white male 3
white male 3
white male 3
white male 3
white male 3
white male 3
white male 3
white male 3
white male 3
white male 3
white male 3
white male 3
white male 3
white male 3
white male 3
white male 3
white male 3
white male 3
white male 3
white male 3
white male 3
white male 3
white male 3
white male 3
white male 3
white male 3
white male 3
white male 3
white male 3
white male 3
white male 3
white male 3
white male 3
white male 3
white male 3
white male 3
white male 3
white male 3
white male 3
white male 3
white male 3
white male 3
white male 3
white male 3
white male 3
white male 3
white male 3
white male 3
white male 3
white male 3
white male 3
white male 3
